timestamp,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,linear_velocity_x,linear_velocity_y,linear_velocity_z,angular_velocity_x,angular_velocity_y,angular_velocity_z
296.382,49.01137568,12.26461916,-32.86016214,0.007060065,0.004012121,-0.638712783,-0.769402391,-0.013310397,0.194721863,-0.003245666,-0.000162612,-0.000499363,0.298713437
296.432,49.01058924,12.27429976,-32.86032535,0.007028397,0.004070642,-0.644127002,-0.764875438,-0.018062749,0.19270342,-0.003287108,0.000551047,-0.000605857,0.271632314
296.482,49.00956082,12.28388754,-32.86049111,0.007003684,0.004144572,-0.649255319,-0.76052699,-0.02279244,0.19082929,-0.003339058,0.000577538,-0.001007785,0.270185857
296.532,49.00831544,12.29336882,-32.86065917,0.006993612,0.004227113,-0.654532289,-0.755989883,-0.02669532,0.188397216,-0.003380478,-3.41E-05,-0.002143553,0.28863905
296.582,49.00690303,12.30270831,-32.86082888,0.007012303,0.00432103,-0.660267345,-0.750985479,-0.029500847,0.185175494,-0.00340202,-0.000902725,-0.002852406,0.320820618
296.632,49.00537907,12.31186603,-32.86099906,0.007057389,0.004419761,-0.666651903,-0.745322681,-0.031217011,0.181170841,-0.003403085,-0.001950131,-0.003866574,0.361284333
296.682,49.00378671,12.32081461,-32.86116898,0.007117808,0.004514882,-0.673769223,-0.738893759,-0.032439311,0.177006384,-0.003392877,-0.002625394,-0.002998987,0.404202552
296.732,49.00210741,12.32957626,-32.8613388,0.007160505,0.004587261,-0.681571845,-0.731701786,-0.035083897,0.173839138,-0.003408838,-0.002835191,-0.001840788,0.441690102
296.782,49.00021768,12.3382647,-32.8615114,0.007146537,0.00463058,-0.689617958,-0.724123302,-0.040745759,0.174535004,-0.00350571,-0.001057641,0.001922063,0.431424225
296.832,48.99797161,12.34708012,-32.86169068,0.007053949,0.004656029,-0.697043703,-0.716978827,-0.049279632,0.17816313,-0.003668379,0.000767285,0.002719703,0.395183026
296.882,48.99521204,12.35606866,-32.86187587,0.006943093,0.004695277,-0.703785708,-0.710362883,-0.061293556,0.180864244,-0.003686188,0.00134686,0.002563647,0.36225854
296.932,48.99178312,12.36514681,-32.86205374,0.006843745,0.004747022,-0.709966196,-0.704186502,-0.075344509,0.182050216,-0.003387331,0.001414836,0.0010948,0.340631328
296.982,48.9876552,12.37426843,-32.86221379,0.006749309,0.004799428,-0.715867054,-0.698187491,-0.088985804,0.182746776,-0.003063772,0.001313648,0.00258798,0.335531328
297.032,48.9828974,12.38341071,-32.86236219,0.006645277,0.004834764,-0.721772676,-0.692081403,-0.100398914,0.182779275,-0.002898224,0.000925313,0.00179331,0.346068438
297.082,48.9776467,12.39252664,-32.86250486,0.006572733,0.004886171,-0.727924471,-0.685608407,-0.108768868,0.181704744,-0.002822578,0.000226257,0.000409597,0.369212509
297.132,48.97205844,12.40155855,-32.8626453,0.006535931,0.004951663,-0.734493052,-0.678566665,-0.114057621,0.179476645,-0.002804562,-0.000638488,-0.001129132,0.401043114
297.182,48.96627906,12.41045183,-32.86278615,0.006517629,0.005010237,-0.74157592,-0.670818584,-0.116596286,0.176231195,-0.002834834,-0.001784952,2.23E-05,0.437862029
297.232,48.96043394,12.41916081,-32.86292917,0.006498831,0.005041974,-0.749207957,-0.662283762,-0.116861223,0.17217359,-0.002884864,-0.002738262,-0.000395522,0.476664757
297.282,48.95465304,12.42764276,-32.86307479,0.006523041,0.005103167,-0.756953269,-0.653416525,-0.113755752,0.167100337,-0.002937734,-0.00230487,-0.004019249,0.449023977
297.332,48.94906612,12.43585943,-32.86322385,0.006575378,0.00520252,-0.76362111,-0.645610176,-0.110278145,0.161910049,-0.00303226,-0.001206202,-0.003636053,0.374191912
297.382,48.94360263,12.44383267,-32.863379,0.00658261,0.00527406,-0.769103327,-0.639068796,-0.108635655,0.1572434,-0.003174179,-0.000725348,-8.58E-05,0.316776301
297.432,48.93818945,12.45157586,-32.86354171,0.006545699,0.005310313,-0.77389686,-0.63325556,-0.107956446,0.15266523,-0.003326655,-0.000230437,-0.000116729,0.291968163
297.482,48.93281195,12.45908905,-32.86371156,0.006522555,0.005367183,-0.778481015,-0.627611313,-0.107093571,0.148034408,-0.003456456,-6.26E-05,-0.001269023,0.293476157
297.532,48.92749356,12.46636858,-32.86388707,0.006522328,0.005445334,-0.783211053,-0.621697881,-0.105577243,0.143322442,-0.003555352,-0.000205769,-0.002688409,0.314118038
297.582,48.92227085,12.47341078,-32.86406679,0.006527817,0.005516637,-0.78832185,-0.615203719,-0.10329794,0.138549003,-0.003624929,-0.001324619,-0.000953244,0.347286297
297.632,48.91718058,12.48021351,-32.86424903,0.006519499,0.005553298,-0.793946026,-0.607927928,-0.10032752,0.133751591,-0.003657471,-0.002103075,-0.001017281,0.387598144
