timestamp,thrust_0,thrust_1,thrust_2,thrust_3,thrust_4,thrust_5
294.834,3.470334462,-1.808525201,-1.76917308,0.526385063,2.881362801,-3.673568673
294.884,3.934593899,-2.496742532,-2.460666089,1.205175166,3.388188593,-4.102163304
294.934,4.316340932,-3.109423336,-3.07803413,1.92581457,3.723236137,-4.445241626
294.984,4.625886471,-3.633098469,-3.60665532,2.603501254,3.464592454,-4.188485952
295.034,4.867633275,-4.015965186,-3.934807167,3.046011374,3.492250578,-4.218597295
295.084,4.921906824,-3.255423808,-2.125116824,0.829691235,3.497932115,-4.223240648
295.134,5.098640749,-2.994627338,-1.425236882,0.063359748,3.629284815,-4.359050139
295.184,5.005183247,-1.567428827,-1.529814393,-0.029801152,3.416519469,-4.145121228
295.234,5.176170765,-2.096043853,-2.22379475,3.07511E-05,3.810540785,-4.484998856
295.284,5.311325173,-2.756569661,-2.870125284,0.191749882,3.998816216,-4.685956194
295.334,5.417790041,-3.333555833,-3.430522756,0.707168932,3.742399642,-4.447445932
295.384,5.501436748,-3.820862619,-3.901554069,1.158041792,3.449424191,-4.16649417
295.434,5.567024718,-4.223395064,-4.278640734,1.436717305,3.638012632,-4.363928859
295.484,5.618373889,-4.550848489,-4.339678098,1.526987463,3.635494456,-4.363288031
295.534,5.658527947,-4.798718605,-4.150864326,1.329909114,3.746510389,-4.479552808
295.584,5.689898994,-4.679353507,-4.320549898,1.266122488,3.769970767,-4.503330076
295.634,5.487533777,-4.706828849,-4.298110748,1.149302838,3.863243048,-4.601165737
295.684,1.743339951,-1.354903205,-1.170366564,0.091295563,3.768655694,-4.506171633
295.734,1.331026635,-0.328724715,-0.095956059,-0.08847661,3.873621191,-4.615507535
295.784,2.048532402,-0.959004474,-0.599096768,0.090668205,3.623672579,-4.365902172
295.834,2.7140581,-1.678154708,-1.289515374,0.58870634,3.853169462,-4.592897876
295.884,3.297106052,-2.376693061,-2.008307134,1.277618992,4.234249607,-4.848001141
295.934,3.790448631,-3.004697689,-2.677941304,1.996734793,4.532043402,-5.031360144
295.984,4.198479267,-3.544726092,-3.266073388,2.667529229,4.201152309,-4.764463321
296.034,4.530698403,-3.996196039,-3.764518473,3.2571156,4.183007096,-4.793794086
296.084,4.798191994,-4.366540195,-4.177216196,3.757027284,4.114719812,-4.762142364
296.134,5.011830067,-4.651013541,-4.480434506,4.0258769,4.074464233,-4.755548108
296.184,5.181434583,-4.559754035,-4.018208267,1.677704464,3.686855679,-4.399437804
