timestamp,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,linear_velocity_x,linear_velocity_y,linear_velocity_z,angular_velocity_x,angular_velocity_y,angular_velocity_z
1284.956,7.918154425,-5.99364978,-2.269352133,-0.001561756,-0.000960727,0.882552,0.470211235,-0.292291243,0.3428369,0.303958847,-0.002140511,0.002806532,0.41421599
1285.006,7.903252587,-5.976515794,-2.254134617,-0.001517367,-0.000923675,0.887315451,0.461159555,-0.303562305,0.343396794,0.30450741,2.94E-05,0.001447029,0.399899219
1285.056,7.887737062,-5.959277611,-2.238911179,-0.00146458,-0.000930936,0.891731277,0.452561948,-0.31694733,0.345980423,0.304412877,0.000721518,0.002187892,0.374509912
1285.106,7.87149192,-5.941910196,-2.223680208,-0.001378869,-0.00091662,0.895791156,0.444472117,-0.332544676,0.34869474,0.305047074,-1.19E-05,0.004363431,0.351023298
1285.156,7.854461456,-5.924418655,-2.208387749,-0.001270454,-0.000868957,0.899572158,0.436769462,-0.347604098,0.350505385,0.306682797,-0.00066772,0.004581721,0.338914016
1285.206,7.836781247,-5.906900017,-2.193005468,-0.001193937,-0.0008245,0.903263045,0.429084802,-0.35822425,0.349854419,0.308508765,-0.000867293,0.002192523,0.34592286
1285.256,7.818700707,-5.889475705,-2.177529584,-0.001173427,-0.000790569,0.907047579,0.421025757,-0.3641573,0.346876945,0.310526972,-0.0020278,0.000629661,0.367121089
1285.306,7.800390584,-5.872253459,-2.161961065,-0.001196572,-0.000754506,0.911014282,0.412372376,-0.367959379,0.341908211,0.311892809,-0.002216826,-0.001242058,0.393588355
1285.356,7.781900542,-5.855324711,-2.1463539,-0.001251773,-0.000728548,0.91516633,0.403073803,-0.371423155,0.335248592,0.312308278,-0.002655855,-0.001941464,0.420014955
1285.406,7.763255172,-5.83876672,-2.130720417,-0.001314775,-0.000680721,0.919483026,0.393126917,-0.374145076,0.327183806,0.31320541,-0.004240243,-0.001100148,0.446308183
1285.456,7.744497175,-5.822642283,-2.115014151,-0.001371403,-0.000586961,0.923940676,0.382532877,-0.375934706,0.317997408,0.31509669,-0.005648063,-0.000344773,0.472022079
1285.506,7.725628444,-5.807076964,-2.099210335,-0.001416779,-0.000429061,0.928415168,0.371541499,-0.37922565,0.303828998,0.316828564,-0.008678388,0.001591805,0.47019776
1285.556,7.706549503,-5.792380165,-2.083351893,-0.001464636,-0.000226446,0.932625547,0.360842614,-0.383821443,0.284234199,0.317216021,-0.008803539,0.000794325,0.450076527
1285.606,7.687217931,-5.7786927,-2.067500844,-0.001525815,-4.99E-05,0.936540086,0.350557181,-0.389454106,0.264597249,0.31683989,-0.007266765,0.000183793,0.431931383
1285.656,7.667595328,-5.765919557,-2.051667089,-0.001582527,8.15E-05,0.940226846,0.340545102,-0.394931008,0.247256597,0.3165521,-0.005537138,-0.000362532,0.424348462
1285.706,7.647754176,-5.75397516,-2.035839417,-0.001641658,0.000172689,0.943803103,0.330504127,-0.398255481,0.231396878,0.316641575,-0.00441265,-0.000916628,0.429802366
1285.756,7.627781788,-5.742789711,-2.019993524,-0.00169969,0.000245417,0.947348323,0.320200258,-0.400295311,0.216813742,0.317253902,-0.003890684,-0.001008414,0.442539232
1285.806,7.607719462,-5.732291574,-2.004106792,-0.001751041,0.000304266,0.950807447,0.309777405,-0.402331712,0.20394652,0.318211063,-0.003203743,-0.000669963,0.428889116
