timestamp,input_0,input_1,input_2,input_3,input_4,input_5
1284.956,240.8534972,201.1970374,-132.7420032,-240.8534972,240.8534972,143.3560788
1285.006,240.8534972,-86.00649627,-202.6120419,-240.8534972,240.8534972,174.3897993
1285.056,240.8534972,-86.08895096,-226.6073017,-240.7903088,240.8534972,240.8534972
1285.106,240.8534972,-240.8534972,-240.8534972,-95.12143425,240.8534972,221.5958893
1285.156,240.8534972,-240.8534972,-240.8534972,71.09677096,240.8534972,199.9099184
1285.206,240.8534972,-240.8534972,-240.8534972,152.0393814,240.8534972,224.5067052
1285.256,240.8534972,-240.8534972,-240.8534972,183.4251039,240.8534972,150.2611537
1285.306,240.8534972,-240.8534972,-240.8534972,187.3162233,240.8534972,177.4166005
1285.356,240.8534972,-240.8534972,-240.8534972,147.6595579,240.8534972,240.8534972
1285.406,240.8534972,-240.8534972,-240.8534972,153.0134157,240.8534972,236.1257656
1285.456,240.8534972,-77.70480288,128.4113946,-240.8534972,240.8534972,181.8383322
1285.506,240.8534972,-201.701833,-22.35244481,-240.8534972,240.8534972,140.0547639
1285.556,240.8534972,-177.202933,-227.6464603,-221.215972,240.8534972,186.3031233
1285.606,240.8534972,-240.8534972,-240.8534972,10.21125082,240.8534972,194.1104794
1285.656,240.8534972,-240.8534972,-240.8534972,240.8534972,240.8534972,210.9686913
1285.706,240.8534972,-240.8534972,-240.8534972,240.8534972,240.8534972,215.9141123
1285.756,240.8534972,178.090541,159.0823458,-240.8534972,240.8534972,211.4002952
1285.806,240.8534972,-109.8769574,-40.27868875,-240.8534972,240.8534972,210.8927616
1285.856,240.8534972,-240.8534972,-240.8534972,-27.74476931,240.8534972,208.9628235
1285.906,240.8534972,-240.8534972,-240.8534972,228.6199899,240.8534972,208.3171219
1285.956,240.8534972,-240.8534972,-240.8534972,214.0418825,240.8534972,155.4980683
1286.006,240.8534972,-240.8534972,-240.8534972,240.8534972,240.8534972,198.4636313
1286.056,240.8534972,-240.8534972,-240.8534972,236.7937271,240.8534972,240.8534972
1286.106,240.8534972,-240.8534972,-240.8534972,240.8534972,240.8534972,240.729646
1286.156,240.8534972,-210.3672333,-240.8534972,-139.1629568,240.8534972,223.0305696
1286.206,240.8534972,-237.4277419,-240.8534972,-100.4809562,240.8534972,218.792989
1286.256,125.7362155,240.8534972,240.8534972,-240.8534972,240.8534972,141.7613331
1286.306,240.8534972,196.7742809,133.4670968,-240.8534972,240.8534972,197.166863
1286.356,240.8534972,-240.8534972,-240.8534972,119.4933769,240.8534972,240.693713
1286.406,240.8534972,-240.8534972,-240.8534972,240.8534972,240.8534972,240.8534972
1286.456,240.8534972,-240.8534972,-240.8534972,160.1034161,240.8534972,202.1489901
1286.506,240.8534972,-240.8534972,-240.8534972,240.8534972,240.8534972,225.806072
1286.556,240.8534972,-234.8851955,-240.8534972,13.71859528,240.8534972,193.817327
1286.606,240.8534972,-240.8534972,-240.8534972,97.25908943,240.8534972,213.635641
1286.656,240.8534972,173.3594151,-183.9127651,-240.8534972,240.8534972,240.8534972
1286.706,240.8534972,81.37285291,-202.6065754,-240.8534972,240.8534972,240.8534972
1286.756,240.8534972,-220.5739623,-240.8534972,-161.4830517,240.8534972,149.9697451
